name,type,rating,price,address,zipCode,note,coordinates
khao soi thai,thai,4.6,2,12215 ventura blvd #112,91604,,"34.14416553721367, -118.39894240569578"
domi,dessert,5,1,672 s santa fe ave,90021,,"34.035959148416836, -118.22986924804971"
rincon hondureno,honduran,4.3,2,1654 w adams blvd,90007,,"34.03271247181331, -118.29894922106638"
thach che hien khanh,vietnamese,4.1,1,9784 westminster blvd,92844,viet dessert,"33.75923900056365, -117.95855319229534"
amara cafe and restaurant,coffee,4.7,2,55 s raymond ave,91105,colombian hot chocolate with cheese,"34.14492031270036, -118.14897931918763"
union restaurant,italian,4.6,3,37 union st,91103,"meatballs, bay leaf dessert","34.147113233182104, -118.14958407685913"
dimassis mediterranean buffet,mediterranean,4.2,2,12727 towne center dr,90703,mediterranean buffet 19.99,"33.870224026927744, -118.0606262229569"
pho hong hung,vietnamese,4.2,1,13191 brookhurst st,92843,"bun ruie, chicken pho","33.77146999235399, -117.95548040763643"
primos donuts,donuts,4.5,1,2918 sawtelle blvd,90064,buttermilk donuts,"34.0270543560833, -118.43158107688768"
colorado donuts,donuts,4.6,1,1578 colorado blvd #14,90041,,"34.1394860435655, -118.20083233453283"
delhi belly indian restaurant,indian,4.5,2,8 w main st,91801,malai broccoli,"34.09495309715687, -118.12698430755944"
heavy handed,hamburger,4.4,1,2912 main st,90405,"smash burgers, chocolate dipped cones","33.99923092446845, -118.48105949223834"
san pedro fish market and restaurant,seafood,4.3,2,1150 s harbor blvd,90731,,"33.73382486265141, -118.2774624499733"
pho 79,vietnamese,4.5,1,9941 harvard ave,92844,lots of awards,"33.75253410879271, -117.9556527327731"
bibis bakery and cafe,bakery,4.5,1,8928 w pico blvd,90035,jewish bakery,"34.05530001342259, -118.38670469222507"
carnitas el artista,mexican,4.3,1,510 n la brea ave,90301,,"33.96960485566937, -118.35568910573753"
button mash,bar,4.5,2,1391 sunset blvd,90026,,"34.07428322740781, -118.25159530571251"
panda inn,chinese,4.5,2,3488 e foothill blvd,91107,,"34.149975808152654, -118.07827363823407"
gacos old world grocery,grocery,4.7,1,5702 york blvd,90042,old sodas from around the world,"34.11879164009354, -118.1933188922099"
pasta e pasta by allegro,italian,4.5,2,432 e 2nd st,90012,,"34.046670680656085, -118.23842599222719"
shlap muan chicken wings,chicken,4.9,1,2150 e south st #105,90805,chicken wings,"33.85969577128506, -118.16631342110752"
bee taqueria,mexican,4.6,1,5754 w adams blvd,90016,taco omakaze,"34.032426928400014, -118.36886232106653"
heng heng chicken rice,thai,4.6,2,5420 hollywood blvd,90027,"chicken rice, zaap fried chicken, zaap pork belly","34.10165182571383, -118.30797471836821"
holy basil dtla,thai,4.4,2,718 s los angeles st space a,90014,"tom yum, pad krapow, pad thai, seafood popup","34.04292972609382, -118.25085364864047"
ayara thai,thai,4.3,2,6245 w 87th st,90045,"pork bread, cyring triger, curry, special thai dinner events","33.958910852616526, -118.39449800291874"
sweet rice,thia,4.8,2,1630 w redondo beach blvd #4,90247,"khao soi, coconut ice cream, chamanow (thai lemonade)","33.88845490511828, -118.30526861826569"
jidaiya ramen,ramen,4.6,1,18537 s western ave,90248,10 styles of ramen,"33.86263981679693, -118.30968604339705"
daniels backyard bbq,bbq,4.5,2,3636 santa fe ave,90810,"bbq popup, breakfast burrito","33.82291346997469, -118.21530258943173"
lolas by mfk,filipino,4.5,2,2410 e katella ave,92806,"filipino brunch, ube pancakes, adobo fried rice, ube tres leches french toast, bangus sisig, iloco moco","33.80547868688533, -117.88279995874348"
cafe 86,cafe,4.6,1,9717 reseda blvd,91324,"turon poptart, ube truffles, ube leche flan cupcake, upside down halo halo, locations in northridge and lakewood","34.25596094108408, -118.53554605711828"
moos craft barbeque,bbq,4.5,2,2118 n broadway,90031,"thicc burger, pork ribs, jalapeno cheddar sausage, pulled pork, korean pork belly, sides, key lime pie, tres leches bread pudding","34.07345178609712, -118.21814828465456"
quarter sheets,pizza,4.8,2,1305 portia st,90026,,"34.076028846148446, -118.25429751634772"
pizzeria sei,pizza,4.7,2,8781 w pico blvd,90035,,"34.05516331643995, -118.38339408765506"
de la nonna,italian,4.4,2,710 e 4th pl,90013,pizza,"34.04515666988548, -118.23747467416435"
ronan,italian,4.4,2,7315 melrose ave,90046,pizza,"34.08388308963238, -118.34920348765402"
noks kitchen,laotian,4.6,2,9378 westminster blvd,92683,"khan bun kai (chicken curry noodle), mango pandan sticky rice, fried pork belly, oxtail soup, crispy fried rice salad","33.75908538834324, -117.96596951835669"
oliboli donuts,donuts,4.7,1,135 w first st suite b,92780,1 of the sidecar founders started this spot,"33.74613111665095, -117.823862745339"
needle,chinese,4.7,2,3827 sunset blvd,90026,hong kong french toast,"34.091904132833236, -118.27950657601728"
zuzus petals,cafe,4.8,2,801 3rd st,90802,brunch,"33.78093035522597, -118.18840780171902"
chao krung thai restaurant,thai,4.2,2,111 n fairfax ave,90036,,"34.074869727968775, -118.36162232698186"
pixiu mala hongtang la,hot pot,4.7,1,425 s western ave ste #e,90020,"mala hongtang, mala xiang guo","34.066430728296694, -118.30959920057232"
shucos la,guatemalan,4.6,1,735 e jefferson blvd,90011,"garnachas (fried masa rounds loaded with meat), shucos (guatemalan hotdog), rellenitos de platano (fried plantains stuffed with refried beans and chocolate)","34.01503038542548, -118.26345795882018"
open market,cafe,4.6,2,3339 wilshire blvd,90010,sandwiches - normandie (with dipping au jus),"34.06222852318125, -118.29584117416385"
scoops on tap,ice cream,4.9,1,491 n citrus ave,91723,"butterbeer, beer floats with icecream, infuse ice cream with local beers on tap","34.09002013599769, -117.89033471649022"
earles on crenshaw,american,4.7,1,3864 crenshaw,90008,"chili dog, loaded chili cheese fries, jamaican patties, salmon burger","34.01586073099389, -118.33483325767152"
portobancos restaurant,nicaraguan,4.6,2,1225 venice blvd,90006,"fritanga (rice, plantain, meat), cacao drink","34.043192120095554, -118.2817515782921"
